City mpg,Classification,Driveline,Fuel Type,Highway mpg,Horsepower,Hybrid,ID,Make,Model Year,Year
12,Automatic transmission,All-wheel drive,Gasoline,17,555,FALSE,2011 BMW X5 M SUV,BMW,2011 BMW X5,2011
12,Automatic transmission,All-wheel drive,Gasoline,17,555,FALSE,2010 BMW X6 M,BMW,2010 BMW X6,2010
12,Automatic transmission,All-wheel drive,Gasoline,17,555,FALSE,2011 BMW X6 M,BMW,2011 BMW X6,2011
18,Manual transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2012 Chevrolet Colorado Work Truck,Chevrolet,2012 Chevrolet Colorado,2012
18,Manual transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2012 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2012 Chevrolet Colorado,2012
18,Automatic transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2012 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2012 Chevrolet Colorado,2012
18,Manual transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2011 Chevrolet Colorado Work Truck,Chevrolet,2011 Chevrolet Colorado,2011
18,Manual transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2011 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2011 Chevrolet Colorado,2011
18,Automatic transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2011 Chevrolet Colorado,2011
18,Manual transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2010 Chevrolet Colorado Work Truck,Chevrolet,2010 Chevrolet Colorado,2010
20,Manual transmission,Rear-wheel drive,Gasoline,26,185,FALSE,2010 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2010 Chevrolet Colorado,2010
18,Automatic transmission,Rear-wheel drive,Gasoline,25,185,FALSE,2010 Chevrolet Colorado Crew Cab LT1,Chevrolet,2010 Chevrolet Colorado,2010
13,Automatic transmission,Rear-wheel drive,Gasoline,18,310,FALSE,2012 Chevrolet Express LS 1500,Chevrolet,2012 Chevrolet Express,2012
9,Automatic transmission,All-wheel drive,E85,12,310,FALSE,2012 Chevrolet Express LS 1500 AWD,Chevrolet,2012 Chevrolet Express,2012
13,Automatic transmission,Rear-wheel drive,Gasoline,17,310,FALSE,2011 Chevrolet Express LS 1500,Chevrolet,2011 Chevrolet Express,2011
13,Automatic transmission,All-wheel drive,Gasoline,17,310,FALSE,2011 Chevrolet Express LS 1500 AWD,Chevrolet,2011 Chevrolet Express,2011
8,Automatic transmission,Rear-wheel drive,E85,12,280,FALSE,2011 Chevrolet Express LS 2500,Chevrolet,2011 Chevrolet Express,2011
8,Automatic transmission,Rear-wheel drive,E85,12,324,FALSE,2011 Chevrolet Express LS 2500 6.0L,Chevrolet,2011 Chevrolet Express,2011
10,Automatic transmission,Rear-wheel drive,E85,13,310,FALSE,2010 Chevrolet Express LS 1500,Chevrolet,2010 Chevrolet Express,2010
13,Automatic transmission,All-wheel drive,Gasoline,17,310,FALSE,2010 Chevrolet Express LS 1500 AWD,Chevrolet,2010 Chevrolet Express,2010
15,Automatic transmission,Rear-wheel drive,Gasoline,20,195,FALSE,2011 Chevrolet Silverado 1500 Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011
14,Automatic transmission,Rear-wheel drive,Gasoline,19,302,FALSE,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011
15,Automatic transmission,Rear-wheel drive,Gasoline,20,195,FALSE,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011
15,Automatic transmission,Rear-wheel drive,Gasoline,20,195,FALSE,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010
15,Automatic transmission,Rear-wheel drive,Gasoline,20,195,FALSE,2010 Chevrolet Silverado 1500 Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010
14,Automatic transmission,Rear-wheel drive,Gasoline,19,302,FALSE,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010
18,Manual transmission,Rear-wheel drive,Gasoline,26,350,FALSE,2011 Nissan 370Z NISMO,Nissan,2011 Nissan 370Z Coupe,2011
18,Manual transmission,Rear-wheel drive,Gasoline,26,350,FALSE,2010 Nissan 370Z NISMO,Nissan,2010 Nissan 370Z Coupe,2010
18,Manual transmission,Rear-wheel drive,Gasoline,26,350,FALSE,2009 Nissan 370Z NISMO,Nissan,2009 Nissan 370Z Coupe,2009
21,Manual transmission,Front-wheel drive,Gasoline,29,227,FALSE,2011 Volvo C30 T5,Volvo,2011 Volvo C30,2011
21,Automatic transmission,Front-wheel drive,Gasoline,30,227,FALSE,2011 Volvo C30 T5 AT,Volvo,2011 Volvo C30,2011
21,Automatic transmission,Front-wheel drive,Gasoline,30,227,FALSE,2010 Volvo C30 T5 AT,Volvo,2010 Volvo C30,2010
21,Manual transmission,Front-wheel drive,Gasoline,29,227,FALSE,2010 Volvo C30 T5,Volvo,2010 Volvo C30,2010
9,Automatic transmission,Rear-wheel drive,Gasoline,15,530,FALSE,2010 Bentley Brooklands,Bentley,2010 Bentley Brooklands,2010
8,Automatic transmission,All-wheel drive,E85,14,621,FALSE,2012 Bentley Continental Supersports Convertible,Bentley,2012 Bentley Continental Supersports Convertible,2012
8,Automatic transmission,All-wheel drive,E85,14,621,FALSE,2012 Bentley Continental Supersports Coupe,Bentley,2012 Bentley Continental Supersports Coupe,2012
8,Automatic transmission,All-wheel drive,E85,14,621,FALSE,2011 Bentley Continental Supersports Convertible,Bentley,2011 Bentley Continental Supersports Convertible,2011
12,Automatic transmission,All-wheel drive,Gasoline,19,621,FALSE,2010 Bentley Continental Supersports,Bentley,2010 Bentley Continental Supersports,2010
8,Automatic transmission,All-wheel drive,E85,13,552,FALSE,2012 Bentley Continental Flying Spur,Bentley,2012 Bentley Continental Flying Spur,2012
11,Automatic transmission,All-wheel drive,Gasoline,19,600,FALSE,2012 Bentley Continental Flying Spur Speed,Bentley,2012 Bentley Continental Flying Spur,2012
10,Automatic transmission,All-wheel drive,Gasoline,17,600,FALSE,2011 Bentley Continental Flying Spur Speed,Bentley,2011 Bentley Continental Flying Spur,2011
10,Automatic transmission,All-wheel drive,Gasoline,17,600,FALSE,2010 Bentley Continental Flying Spur Speed,Bentley,2010 Bentley Continental Flying Spur,2010
10,Automatic transmission,All-wheel drive,Gasoline,17,552,FALSE,2010 Bentley Continental Flying Spur,Bentley,2010 Bentley Continental Flying Spur,2010
19,Automatic transmission,Front-wheel drive,Gasoline,28,227,FALSE,2011 Volvo C70 T5,Volvo,2011 Volvo C70,2011
20,Manual transmission,Front-wheel drive,Gasoline,28,227,FALSE,2010 Volvo C70 T5,Volvo,2010 Volvo C70,2010
19,Automatic transmission,Front-wheel drive,Gasoline,28,227,FALSE,2010 Volvo C70 T5 AT,Volvo,2010 Volvo C70,2010
21,Manual transmission,Front-wheel drive,Gasoline,29,168,FALSE,2010 Volvo S40 2.4i,Volvo,2010 Volvo S40,2010
21,Automatic transmission,Front-wheel drive,Gasoline,30,227,FALSE,2010 Volvo S40 R-Design,Volvo,2010 Volvo S40,2010
21,Automatic transmission,Front-wheel drive,Gasoline,30,227,FALSE,2011 Volvo S40 T5,Volvo,2011 Volvo S40,2011
20,Manual transmission,All-wheel drive,Gasoline,27,227,FALSE,2010 Volvo S40 R-Design AWD,Volvo,2010 Volvo S40,2010
20,Automatic transmission,Front-wheel drive,Gasoline,30,250,FALSE,2012 Volvo S60 T5,Volvo,2012 Volvo S60,2012
18,Automatic transmission,All-wheel drive,Gasoline,26,300,FALSE,2012 Volvo S60 T6 AWD,Volvo,2012 Volvo S60,2012
18,Automatic transmission,All-wheel drive,Gasoline,26,325,FALSE,2012 Volvo S60 R-Design,Volvo,2012 Volvo S60,2012
18,Automatic transmission,All-wheel drive,Gasoline,26,300,FALSE,2011 Volvo S60 T6 AWD,Volvo,2011 Volvo S60,2011
19,Automatic transmission,Front-wheel drive,Gasoline,27,240,FALSE,2011 Volvo S80 3.2,Volvo,2011 Volvo S80,2011
15,Automatic transmission,All-wheel drive,Gasoline,22,311,FALSE,2010 Volvo S80 V8,Volvo,2010 Volvo S80,2010
16,Automatic transmission,All-wheel drive,Gasoline,24,281,FALSE,2010 Volvo S80 T6 AWD,Volvo,2010 Volvo S80,2010
18,Automatic transmission,Front-wheel drive,Gasoline,27,235,FALSE,2010 Volvo S80 3.2,Volvo,2010 Volvo S80,2010
21,Automatic transmission,Front-wheel drive,Gasoline,30,227,FALSE,2011 Volvo V50 T5,Volvo,2011 Volvo V50,2011
20,Manual transmission,All-wheel drive,Gasoline,26,227,FALSE,2010 Volvo V50 R-Design,Volvo,2010 Volvo V50,2010
20,Automatic transmission,Front-wheel drive,Gasoline,31,168,FALSE,2010 Volvo V50 2.4i,Volvo,2010 Volvo V50,2010
17,Automatic transmission,All-wheel drive,Gasoline,22,300,FALSE,2011 Volvo XC60 T6 AWD,Volvo,2011 Volvo XC60,2011
18,Automatic transmission,Front-wheel drive,Gasoline,25,240,FALSE,2011 Volvo XC60 3.2,Volvo,2011 Volvo XC60,2011
16,Automatic transmission,All-wheel drive,Gasoline,21,281,FALSE,2010 Volvo XC60 T6 AWD,Volvo,2010 Volvo XC60,2010
18,Automatic transmission,Front-wheel drive,Gasoline,27,235,FALSE,2010 Volvo XC60 3.2,Volvo,2010 Volvo XC60,2010
18,Automatic transmission,Front-wheel drive,Gasoline,25,240,FALSE,2011 Volvo XC70 3.2,Volvo,2011 Volvo XC70,2011
17,Automatic transmission,All-wheel drive,Gasoline,22,300,FALSE,2011 Volvo XC70 T6 AWD,Volvo,2011 Volvo XC70,2011
16,Automatic transmission,All-wheel drive,Gasoline,21,281,FALSE,2010 Volvo XC70 T6 AWD,Volvo,2010 Volvo XC70,2010
16,Automatic transmission,All-wheel drive,Gasoline,22,235,FALSE,2010 Volvo XC70 3.2,Volvo,2010 Volvo XC70,2010
17,Automatic transmission,Rear-wheel drive,Gasoline,23,270,FALSE,2011 Toyota 4Runner SR5,Toyota,2011 Toyota 4Runner,2011
17,Automatic transmission,Four-wheel drive,Gasoline,22,270,FALSE,2011 Toyota 4Runner SR5 4WD,Toyota,2011 Toyota 4Runner,2011
17,Automatic transmission,Four-wheel drive,Gasoline,22,270,FALSE,2011 Toyota 4Runner Trail,Toyota,2011 Toyota 4Runner,2011
17,Automatic transmission,Rear-wheel drive,Gasoline,23,270,FALSE,2011 Toyota 4Runner Limited,Toyota,2011 Toyota 4Runner,2011
17,Automatic transmission,Four-wheel drive,Gasoline,22,270,FALSE,2011 Toyota 4Runner  Limited 4WD,Toyota,2011 Toyota 4Runner,2011
16,Automatic transmission,Front-wheel drive,Gasoline,22,240,FALSE,2011 Volvo XC90 3.2,Volvo,2011 Volvo XC90,2011
14,Automatic transmission,All-wheel drive,Gasoline,21,311,FALSE,2011 Volvo XC90 V8,Volvo,2011 Volvo XC90,2011
15,Automatic transmission,Front-wheel drive,Gasoline,22,235,FALSE,2010 Volvo XC90 3.2,Volvo,2010 Volvo XC90,2010
13,Automatic transmission,All-wheel drive,Gasoline,19,311,FALSE,2010 Volvo XC90 V8,Volvo,2010 Volvo XC90,2010
18,Automatic transmission,Front-wheel drive,Gasoline,27,235,FALSE,2010 Volvo V70 3.2,Volvo,2010 Volvo V70,2010
18,Automatic transmission,Rear-wheel drive,Gasoline,23,157,FALSE,2010 Toyota 4Runner SR5,Toyota,2010 Toyota 4Runner,2010
17,Automatic transmission,Rear-wheel drive,Gasoline,23,270,FALSE,2010 Toyota 4Runner SR5 V6,Toyota,2010 Toyota 4Runner,2010
17,Automatic transmission,Four-wheel drive,Gasoline,22,270,FALSE,2010 Toyota 4Runner SR5 V6 4WD,Toyota,2010 Toyota 4Runner,2010
17,Automatic transmission,Four-wheel drive,Gasoline,22,270,FALSE,2010 Toyota 4Runner Trail,Toyota,2010 Toyota 4Runner,2010
17,Automatic transmission,Rear-wheel drive,Gasoline,23,270,FALSE,2010 Toyota 4Runner Limited,Toyota,2010 Toyota 4Runner,2010
17,Automatic transmission,Four-wheel drive,Gasoline,22,270,FALSE,2010 Toyota 4Runner Limited 4WD,Toyota,2010 Toyota 4Runner,2010
21,Manual transmission,Front-wheel drive,Gasoline,30,200,FALSE,2012 Audi A3 2.0 T,Audi,2012 Audi A3,2012
17,Manual transmission,Front-wheel drive,Gasoline,25,271,FALSE,2010 Honda Accord EX-L V-6 Coup,Honda,2010 Honda Accord Coupe,2010
21,Automatic transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX Coup AT,Honda,2010 Honda Accord Coupe,2010
22,Manual transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX-L Coup,Honda,2010 Honda Accord Coupe,2010
21,Automatic transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX-L Coup AT,Honda,2010 Honda Accord Coupe,2010
19,Automatic transmission,Front-wheel drive,Gasoline,28,271,FALSE,2010 Honda Accord EX-L V-6 Coup AT,Honda,2010 Honda Accord Coupe,2010
22,Manual transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX Coup,Honda,2010 Honda Accord Coupe,2010
21,Automatic transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord LX-S Coup AT,Honda,2010 Honda Accord Coupe,2010
22,Manual transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord LX-S Coup,Honda,2010 Honda Accord Coupe,2010
18,Manual transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2011 Nissan 370Z Roadster,Nissan,2011 Nissan 370Z Roadster,2011
18,Automatic transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2011 Nissan 370Z Roadster AT,Nissan,2011 Nissan 370Z Roadster,2011
18,Manual transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2011 Nissan 370Z Touring Roadster,Nissan,2011 Nissan 370Z Roadster,2011
18,Automatic transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2011 Nissan 370Z Touring Roadster AT,Nissan,2011 Nissan 370Z Roadster,2011
18,Manual transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2010 Nissan 370Z Touring Roadster,Nissan,2010 Nissan 370Z Roadster,2010
18,Manual transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2010 Nissan 370Z Roadster,Nissan,2010 Nissan 370Z Roadster,2010
18,Automatic transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2010 Nissan 370Z Roadster AT,Nissan,2010 Nissan 370Z Roadster,2010
18,Automatic transmission,Rear-wheel drive,Gasoline,25,332,FALSE,2010 Nissan 370Z Touring Roadster AT,Nissan,2010 Nissan 370Z Roadster,2010
21,Manual transmission,Front-wheel drive,Gasoline,30,200,FALSE,2011 Audi A3 2.0 T,Audi,2011 Audi A3,2011
18,Manual transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2011 Nissan 370Z Coupe,Nissan,2011 Nissan 370Z Coupe,2011
18,Manual transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2011 Nissan 370Z Touring Coupe,Nissan,2011 Nissan 370Z Coupe,2011
19,Automatic transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2011 Nissan 370Z Touring Coupe AT,Nissan,2011 Nissan 370Z Coupe,2011
18,Manual transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2011 Nissan 370Z Touring Coupe,Nissan,2011 Nissan 370Z Coupe,2011
21,Manual transmission,Front-wheel drive,Gasoline,30,200,FALSE,2010 Audi A3 2.0 T,Audi,2010 Audi A3,2010
19,Automatic transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2010 Nissan 370Z Touring Coupe AT,Nissan,2010 Nissan 370Z Coupe,2010
18,Manual transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2010 Nissan 370Z Coupe,Nissan,2010 Nissan 370Z Coupe,2010
18,Manual transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2010 Nissan 370Z Touring Coupe,Nissan,2010 Nissan 370Z Coupe,2010
19,Automatic transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2010 Nissan 370Z Coupe AT,Nissan,2010 Nissan 370Z Coupe,2010
21,Manual transmission,All-wheel drive,Gasoline,31,211,FALSE,2012 Audi A4 Sedan 2.0 T Quattro,Audi,2012 Audi A4 Sedan,2012
21,Automatic transmission,All-wheel drive,Gasoline,29,211,FALSE,2012 Audi A4 Sedan 2.0 T Quattro AT,Audi,2012 Audi A4 Sedan,2012
21,Manual transmission,All-wheel drive,Gasoline,31,211,FALSE,2011 Audi A4 Sedan 2.0 T Quattro,Audi,2011 Audi A4 Sedan,2011
21,Automatic transmission,All-wheel drive,Gasoline,29,211,FALSE,2011 Audi A4 Sedan 2.0 T Quattro AT,Audi,2011 Audi A4 Sedan,2011
29,Manual transmission,Front-wheel drive,Gasoline,38,120,FALSE,2012 Ford Fiesta S Sedan,Ford,2012 Ford Fiesta Sedan,2012
29,Manual transmission,Front-wheel drive,Gasoline,38,120,FALSE,2012 Ford Fiesta SE Sedan,Ford,2012 Ford Fiesta Sedan,2012
29,Manual transmission,Front-wheel drive,Gasoline,38,120,FALSE,2012 Ford Fiesta SEL Sedan,Ford,2012 Ford Fiesta Sedan,2012
38,Manual transmission,Front-wheel drive,Gasoline,37,120,FALSE,2011 Ford Fiesta Sedan S,Ford,2011 Ford Fiesta Sedan,2011
28,Manual transmission,Front-wheel drive,Gasoline,37,120,FALSE,2011 Ford Fiesta Sedan SE,Ford,2011 Ford Fiesta Sedan,2011
28,Manual transmission,Front-wheel drive,Gasoline,37,120,FALSE,2011 Ford Fiesta Sedan SEL,Ford,2011 Ford Fiesta Sedan,2011
21,Automatic transmission,Front-wheel drive,Gasoline,30,227,FALSE,2011 Volvo C30 R-Design AT,Volvo,2011 Volvo C30,2011
21,Manual transmission,Front-wheel drive,Gasoline,29,227,FALSE,2011 Volvo C30 R-Design,Volvo,2011 Volvo C30,2011
21,Automatic transmission,Front-wheel drive,Gasoline,30,227,FALSE,2010 Volvo C30 R-Design AT,Volvo,2010 Volvo C30,2010
21,Manual transmission,Front-wheel drive,Gasoline,29,227,FALSE,2010 Volvo C30 R-Design,Volvo,2010 Volvo C30,2010
21,Automatic transmission,All-wheel drive,Gasoline,27,211,FALSE,2010 Audi A4 Sedan 2.0 T Quattro AT,Audi,2010 Audi A4 Sedan,2010
22,Manual transmission,All-wheel drive,Gasoline,30,211,FALSE,2010 Audi A4 Sedan 2.0 T Quattro,Audi,2010 Audi A4 Sedan,2010
21,Automatic transmission,Front-wheel drive,Gasoline,29,168,FALSE,2010 Volvo S40 2.4i AT,Volvo,2010 Volvo S40,2010
20,Automatic transmission,All-wheel drive,Gasoline,27,227,FALSE,2010 Volvo S40 R-Design AT AWD,Volvo,2010 Volvo S40,2010
21,Automatic transmission,All-wheel drive,Gasoline,29,211,FALSE,2012 Audi A4 Avant 2.0 T,Audi,2012 Audi A4 Avant,2012
21,Automatic transmission,All-wheel drive,Gasoline,29,211,FALSE,2011 Audi A4 Avant 2.0 T,Audi,2011 Audi A4 Avant,2011
23,Automatic transmission,All-wheel drive,Gasoline,30,211,FALSE,2010 Audi A4 Avant 2.0 T,Audi,2010 Audi A4 Avant,2010
23,Manual transmission,Front-wheel drive,Gasoline,32,190,FALSE,2011 Honda Accord EX Coup,Honda,2011 Honda Accord Coup,2011
22,Automatic transmission,Front-wheel drive,Gasoline,33,190,FALSE,2011 Honda Accord LX-S Coup AT,Honda,2011 Honda Accord Coup,2011
17,Manual transmission,Front-wheel drive,Gasoline,26,271,FALSE,2011 Honda Accord EX-L V-6 Coup,Honda,2011 Honda Accord Coup,2011
23,Manual transmission,Front-wheel drive,Gasoline,32,190,FALSE,2011 Honda Accord LX-S Coup,Honda,2011 Honda Accord Coup,2011
19,Automatic transmission,Front-wheel drive,Gasoline,29,271,FALSE,2011 Honda Accord EX-L V-6 Coup AT,Honda,2011 Honda Accord Coup,2011
22,Automatic transmission,Front-wheel drive,Gasoline,33,190,FALSE,2011 Honda Accord EX Coup AT,Honda,2011 Honda Accord Coup,2011
22,Automatic transmission,Front-wheel drive,Gasoline,33,190,FALSE,2011 Honda Accord EX-L Coup,Honda,2011 Honda Accord Coup,2011
29,Manual transmission,Front-wheel drive,Gasoline,38,120,FALSE,2012 Ford Fiesta SE Hatchback,Ford,2012 Ford Fiesta Hatchback,2012
29,Manual transmission,Front-wheel drive,Gasoline,38,120,FALSE,2012 Ford Fiesta SES Hatchback,Ford,2012 Ford Fiesta Hatchback,2012
28,Manual transmission,Front-wheel drive,Gasoline,37,120,FALSE,2011 Ford Fiesta Hatchback SE,Ford,2011 Ford Fiesta Hatchback,2011
28,Manual transmission,Front-wheel drive,Gasoline,37,120,FALSE,2011 Ford Fiesta Hatchback SES,Ford,2011 Ford Fiesta Hatchback,2011
22,Manual transmission,Front-wheel drive,Gasoline,31,177,FALSE,2010 Honda Accord LX Sedan,Honda,2010 Honda Accord Sedan,2010
21,Automatic transmission,Front-wheel drive,Gasoline,31,177,FALSE,2010 Honda Accord LX Sedan AT,Honda,2010 Honda Accord Sedan,2010
22,Manual transmission,Front-wheel drive,Gasoline,31,177,FALSE,2010 Honda Accord LX-P Sedan,Honda,2010 Honda Accord Sedan,2010
21,Automatic transmission,Front-wheel drive,Gasoline,31,177,FALSE,2010 Honda Accord LX-P Sedan AT,Honda,2010 Honda Accord Sedan,2010
22,Manual transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX Sedan,Honda,2010 Honda Accord Sedan,2010
21,Automatic transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX Sedan AT,Honda,2010 Honda Accord Sedan,2010
22,Manual transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX-L Sedan,Honda,2010 Honda Accord Sedan,2010
21,Automatic transmission,Front-wheel drive,Gasoline,31,190,FALSE,2010 Honda Accord EX-L Sedan AT,Honda,2010 Honda Accord Sedan,2010
19,Automatic transmission,Front-wheel drive,Gasoline,29,271,FALSE,2010 Honda Accord EX V-6 Sedan,Honda,2010 Honda Accord Sedan,2010
20,Automatic transmission,Front-wheel drive,Gasoline,29,268,FALSE,2011 Toyota Avalon,Toyota,2011 Toyota Avalon,2011
20,Automatic transmission,Front-wheel drive,Gasoline,29,268,FALSE,2011 Toyota Avalon Limited,Toyota,2011 Toyota Avalon,2011
18,Automatic transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2009 Nissan 370Z Coupe AT,Nissan,2009 Nissan 370Z Coupe,2009
18,Automatic transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2009 Nissan 370Z Touring Coupe AT,Nissan,2009 Nissan 370Z Coupe,2009
18,Manual transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2009 Nissan 370Z Touring Coupe,Nissan,2009 Nissan 370Z Coupe,2009
18,Manual transmission,Rear-wheel drive,Gasoline,26,332,FALSE,2009 Nissan 370Z Coupe,Nissan,2009 Nissan 370Z Coupe,2009
19,Automatic transmission,Front-wheel drive,Gasoline,28,268,FALSE,2010 Toyota Avalon XL,Toyota,2010 Toyota Avalon,2010
19,Automatic transmission,Front-wheel drive,Gasoline,28,268,FALSE,2010 Toyota Avalon XLS,Toyota,2010 Toyota Avalon,2010
19,Automatic transmission,Front-wheel drive,Gasoline,28,268,FALSE,2010 Toyota Avalon Limited,Toyota,2010 Toyota Avalon,2010
22,Manual transmission,Front-wheel drive,Gasoline,33,169,FALSE,2011 Toyota Camry,Toyota,2011 Toyota Camry,2011
22,Automatic transmission,Front-wheel drive,Gasoline,32,169,FALSE,2011 Toyota Camry AT,Toyota,2011 Toyota Camry,2011
22,Manual transmission,Front-wheel drive,Gasoline,33,169,FALSE,2011 Toyota Camry LE,Toyota,2011 Toyota Camry,2011
22,Automatic transmission,Front-wheel drive,Gasoline,32,169,FALSE,2011 Toyota Camry LE AT,Toyota,2011 Toyota Camry,2011
20,Automatic transmission,Front-wheel drive,Gasoline,29,268,FALSE,2011 Toyota Camry LE V6,Toyota,2011 Toyota Camry,2011
22,Manual transmission,Front-wheel drive,Gasoline,33,179,FALSE,2011 Toyota Camry SE,Toyota,2011 Toyota Camry,2011
22,Automatic transmission,Front-wheel drive,Gasoline,32,179,FALSE,2011 Toyota Camry SE AT,Toyota,2011 Toyota Camry,2011
20,Automatic transmission,Front-wheel drive,Gasoline,29,268,FALSE,2011 Toyota Camry SE V6,Toyota,2011 Toyota Camry,2011
22,Automatic transmission,Front-wheel drive,Gasoline,32,169,FALSE,2011 Toyota Camry XLE,Toyota,2011 Toyota Camry,2011
20,Automatic transmission,Front-wheel drive,Gasoline,29,268,FALSE,2011 Toyota Camry XLE V6,Toyota,2011 Toyota Camry,2011
26,Manual transmission,Front-wheel drive,Gasoline,36,160,FALSE,2012 Ford Focus S Sedan,Ford,2012 Ford Focus Sedan,2012
26,Manual transmission,Front-wheel drive,Gasoline,36,160,FALSE,2012 Ford Focus SE Sedan,Ford,2012 Ford Focus Sedan,2012
25,Manual transmission,Front-wheel drive,Gasoline,35,140,FALSE,2011 Ford Focus Sedan S,Ford,2011 Ford Focus Sedan,2011
25,Automatic transmission,Front-wheel drive,Gasoline,34,140,FALSE,2011 Ford Focus Sedan S AT,Ford,2011 Ford Focus Sedan,2011
25,Manual transmission,Front-wheel drive,Gasoline,35,140,FALSE,2011 Ford Focus Sedan SE,Ford,2011 Ford Focus Sedan,2011
